hello
./datasets/cifarmnist2_10000.pt dataset not found. Creating dataset...
Files already downloaded and verified
Files already downloaded and verified
epoch           train_acc       test_acc        time         
4               0.87920         0.37700         0.73730      
5               0.87680         0.30400         0.73844      
6               0.88860         0.40400         0.74081      
7               0.89660         0.40200         0.73461      
8               0.91030         0.49300         0.73617      
9               0.92270         0.51900         0.72937      
10              0.91720         0.52000         0.72809      
11              0.91810         0.44800         0.72943      
12              0.94070         0.49300         0.72806      
13              0.93420         0.54200         0.72746      
14              0.93400         0.55700         0.72750      
15              0.90770         0.62700         0.72789      
16              0.82780         0.64700         0.72986      
17              0.85830         0.61600         0.72905      
18              0.86000         0.65600         0.72820      
19              0.87930         0.59900         0.72902      
20              0.88680         0.60800         0.72818      
21              0.87650         0.61300         0.72584      
22              0.87880         0.63500         0.73050      
23              0.86150         0.65700         0.72705      
24              0.86870         0.56400         0.72699      
25              0.85640         0.67100         0.72665      
26              0.88520         0.65600         0.72828      
27              0.88540         0.65200         0.72643      
28              0.88170         0.65000         0.72844      
29              0.87220         0.66100         0.72802      
30              0.87440         0.66200         0.72860      
31              0.87910         0.66200         0.72793      
32              0.87780         0.65500         0.72687      
33              0.87460         0.66100         0.72575      
34              0.87660         0.66500         0.72805      
35              0.87720         0.66000         0.72490      
36              0.87620         0.66100         0.72621      
37              0.87630         0.66300         0.72904      
38              0.87730         0.66100         0.72597      
39              0.87710         0.66000         0.72598      
40              0.87710         0.66100         0.72637      
41              0.87760         0.66000         0.72573      
42              0.87790         0.65900         0.72513      
43              0.87760         0.65800         0.72769      
44              0.87800         0.65900         0.72872      
45              0.87810         0.65900         0.72675      
46              0.85700         0.68100         0.88029      
47              0.85360         0.69700         0.91552      
48              0.86470         0.60400         0.91269      
49              0.84960         0.71200         0.91398      
0               0.00000         0.00000         39.09135     
./datasets/cifarmnist2_10000.pt dataset not found. Creating dataset...
Files already downloaded and verified
Files already downloaded and verified
epoch           train_acc       test_acc        time         
0               0.84540         0.11200         2.57257      
1               0.84890         0.13500         0.74374      
2               0.85120         0.20400         0.74031      
3               0.86080         0.31600         0.73701      
4               0.86930         0.35200         0.74054      
5               0.87130         0.41500         0.74240      
6               0.88370         0.56000         0.73693      
7               0.89130         0.51900         0.73523      
8               0.90580         0.46000         0.74164      
9               0.89380         0.60900         0.74777      
10              0.89810         0.68000         0.74222      
11              0.91050         0.57800         0.74836      
12              0.91080         0.55300         0.74958      
13              0.91910         0.54600         0.74235      
14              0.93210         0.48600         0.74034      
15              0.80610         0.65800         0.74393      
16              0.75090         0.63900         0.75008      
17              0.76830         0.62000         0.74071      
18              0.72710         0.60700         0.73763      
19              0.69830         0.60400         0.74139      
20              0.66500         0.60300         0.74380      
21              0.65460         0.59300         0.74024      
22              0.67030         0.60500         0.74268      
23              0.65970         0.59500         0.74670      
24              0.63540         0.58600         0.74061      
25              0.63840         0.58600         0.74186      
26              0.63950         0.58200         0.74793      
27              0.63840         0.58300         0.74076      
28              0.63870         0.58200         0.74927      
29              0.63890         0.58300         0.74233      
30              0.63890         0.58300         0.74466      
31              0.63900         0.58300         0.74193      
32              0.63910         0.58300         0.74050      
33              0.63920         0.58400         0.74405      
34              0.63940         0.58300         0.74261      
35              0.63950         0.58300         0.74462      
36              0.63950         0.58300         0.74231      
37              0.63980         0.58300         0.73949      
38              0.63990         0.58300         0.74431      
39              0.64000         0.58300         0.74372      
40              0.64000         0.58300         0.74054      
41              0.64020         0.58300         0.74689      
42              0.64050         0.58300         0.73839      
43              0.64090         0.58300         0.73665      
44              0.64100         0.58300         0.74180      
45              0.64110         0.58300         0.74050      
46              0.57970         0.56000         0.88741      
47              0.60180         0.47600         0.92296      
48              0.57840         0.54500         0.91227      
49              0.53830         0.55500         0.91704      
0               0.00000         0.00000         39.63889     
./datasets/cifarmnist2_10000.pt dataset not found. Creating dataset...
Files already downloaded and verified
Files already downloaded and verified
epoch           train_acc       test_acc        time         
0               0.84600         0.11100         2.57581      
1               0.84960         0.12200         0.69425      
2               0.85120         0.12500         0.68094      
3               0.86360         0.30700         0.67980      
4               0.86290         0.27200         0.68347      
5               0.88200         0.42100         0.69058      
6               0.89020         0.53400         0.68129      
7               0.88870         0.47900         0.68100      
8               0.88940         0.48400         0.67916      
9               0.90530         0.43000         0.68085      
10              0.88960         0.53400         0.68060      
11              0.89500         0.55200         0.67812      
12              0.91010         0.43100         0.67878      
13              0.92420         0.50300         0.67806      
14              0.94360         0.49300         0.67895      
15              0.87780         0.55000         0.67907      
16              0.81550         0.57700         0.67867      
17              0.82960         0.57700         0.67829      
18              0.81010         0.61000         0.67972      
19              0.74440         0.63800         0.67819      
20              0.74850         0.72000         0.67870      
21              0.72240         0.73300         0.67975      
22              0.71300         0.72500         0.67818      
23              0.70900         0.73100         0.67815      
24              0.71350         0.72500         0.67696      
25              0.71330         0.72400         0.67808      
26              0.71270         0.72500         0.67933      
27              0.71370         0.72400         0.67817      
28              0.71570         0.72500         0.67864      
29              0.71550         0.72400         0.67958      
30              0.71630         0.72200         0.67726      
31              0.71640         0.72500         0.67995      
32              0.71620         0.72500         0.67879      
33              0.71610         0.72600         0.67796      
34              0.71670         0.72500         0.67895      
35              0.71720         0.72500         0.67829      
36              0.71750         0.72500         0.67746      
37              0.71760         0.72500         0.67761      
