runid,date,model,hidden_dim,algorithm,dataset,epochs,time elapsed,record_train_acc,record_test_acc,last_train_acc,last_test_acc,target density/prune,final l1 norm,learning rate,optimizer,momentum,percent zeros,irmv1_gradnorm penalty,irmv1_penalty_anneal_iter,pgd_anneal_iter,orig 28x28,ts,te,fraction z,pgd skip,rho tolerance
0,9/27/2024 16:25,resnet18,390,probmask,mnistcifar,50,43.90704751,0.620200009,0.631000005,0.669200029,0.580000005,0.8046875,19.01821136,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 16:24,resnet18,390,probmask,mnistcifar,50,44.52195549,0.66790003,0.621999996,0.669800028,0.566000006,0.8046875,19.27671814,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 16:23,resnet18,390,probmask,mnistcifar,50,43.64008689,0.618200007,0.648000008,0.73080003,0.460999995,0.8046875,19.9612236,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 16:22,resnet18,390,probmask,mnistcifar,50,44.83176208,0.670700037,0.607000008,0.517900013,0.510000007,0.8046875,20.56657791,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 16:21,resnet18,390,probmask,mnistcifar,50,45.65094948,0.650300017,0.636999997,0.740800028,0.566000011,0.8046875,21.62890434,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 16:21,resnet18,390,probmask,mnistcifar,50,46.54749179,0.650800016,0.637000006,0.699600035,0.607000002,0.814453125,20.88690567,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 16:20,resnet18,390,probmask,mnistcifar,50,47.05472493,0.61310001,0.646000028,0.56970001,0.544000017,0.814453125,22.18824005,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 16:19,resnet18,390,probmask,mnistcifar,50,43.3250339,0.623600009,0.638999995,0.655500021,0.529000003,0.814453125,21.18125916,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 16:18,resnet18,390,probmask,mnistcifar,50,42.78913331,0.652300019,0.595999997,0.633400016,0.566000002,0.814453125,20.78538132,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 16:17,resnet18,390,probmask,mnistcifar,50,46.78609562,0.64420002,0.639999998,0.534700012,0.499999996,0.814453125,20.52371216,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
